                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,           val/ave_loss,                   mIOU,         train/ave_loss,                 sigma1,                 sigma2,                 lr/pg0,                 lr/pg1,                 lr/pg2,                 lr/pg3
                     24,                 1.2853,                 1.2437,                 2.2348,                0.66261,                0.70941,                0.74391,                0.49442,                 1.2142,                 1.1643,                 2.0965,                0.01179,                0.69579,              0.0083142,                 10.675,               0.084249,              0.0014139,              0.0014139,              0.0014139,              0.0014139
                     25,                 1.2586,                  1.218,                 2.2028,                 0.7613,                0.65391,                0.76805,                0.54507,                 1.1413,                 1.0377,                 2.1067,                0.01331,                0.69705,              0.0084567,                 10.675,               0.084249,              0.0014029,              0.0014029,              0.0014029,              0.0014029
                     26,                 1.2125,                 1.1477,                 2.1308,                0.73593,                0.70938,                0.79445,                0.55883,                 1.1009,                 1.0104,                 2.0139,                0.01254,                0.69734,              0.0076716,                 10.675,               0.084249,              0.0013919,              0.0013919,              0.0013919,              0.0013919
                     27,                 1.2388,                  1.173,                 2.1643,                 0.7863,                0.65746,                0.77767,                0.54909,                 1.0797,                0.99878,                 2.0091,                0.01097,                0.70314,              0.0072983,                 10.675,               0.084249,              0.0013809,              0.0013809,              0.0013809,              0.0013809
                     28,                 1.2391,                 1.1572,                 2.1425,                 0.6722,                0.73064,                0.75725,                0.53189,                 1.0626,                  1.078,                 1.9799,                0.01132,                0.69708,              0.0076109,                 10.675,               0.084249,              0.0013699,              0.0013699,              0.0013699,              0.0013699
                     29,                 1.1786,                 1.0994,                 2.0834,                0.73338,                0.66401,                0.76036,                0.53008,                 1.1256,                   1.06,                 2.0385,                0.01258,                0.69676,              0.0076766,                 10.675,               0.084249,              0.0013589,              0.0013589,              0.0013589,              0.0013589
                     30,                 1.2036,                  1.114,                 2.1093,                0.77176,                0.71735,                0.81856,                0.58137,                 1.0479,                 0.9394,                 1.9366,                0.01114,                0.70307,              0.0078396,                 10.675,               0.084249,              0.0013479,              0.0013479,              0.0013479,              0.0013479
                     31,                 1.1616,                 1.0853,                 2.0572,                0.78329,                0.69699,                0.78237,                0.54855,                 1.0938,                0.95921,                 1.9977,                0.01022,                0.71995,              0.0081827,                 10.675,               0.084249,              0.0013369,              0.0013369,              0.0013369,              0.0013369
                     32,                 1.1747,                 1.0767,                 2.0667,                0.76497,                0.73994,                0.81889,                0.58778,                 1.0211,                  0.907,                 1.8984,                 0.0108,                0.71301,              0.0066696,                 10.675,               0.084249,              0.0013259,              0.0013259,              0.0013259,              0.0013259
                     33,                 1.1596,                 1.0475,                 2.0392,                0.78209,                0.71016,                0.80991,                0.57883,                 1.0328,                0.90007,                 1.9362,                0.01054,                0.71393,              0.0074053,                 10.675,               0.084249,              0.0013149,              0.0013149,              0.0013149,              0.0013149
